		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
DBNL	IPI00456925_DBNL	7.86	5.13	2.67	0.00	0.00	0.00	0.00	0.00	7.90	9.61	0.00	0.00	9.45	7.95	3.81
PRDX3	IPI00024919_PRDX3	2.25	0.00	0.00	0.00	0.00	0.00	3.01	0.00	10.54	4.12	9.28	4.59	0.00	0.00	0.00
PRNP	IPI00797025_PRNP	2.25	2.56	2.67	11.83	8.12	4.95	3.01	0.00	3.95	0.00	0.00	0.00	13.65	3.67	2.72
RCN1	IPI00015842_RCN1	0.00	0.00	3.55	7.39	9.28	0.00	3.01	2.80	0.00	3.43	0.00	3.06	0.00	2.45	2.18
NT5DC1	IPI00177965_NT5DC1	0.00	0.00	0.00	0.00	3.48	0.00	0.00	2.80	2.63	2.06	7.73	0.00	3.15	7.95	5.44
LAP3	IPI00789806_LAP3	3.37	4.27	3.55	0.00	0.00	0.00	0.00	0.00	5.27	7.55	0.00	3.06	2.10	2.45	4.35
CDH1	IPI00025861_CDH1	0.00	0.00	0.00	0.00	0.00	9.90	19.09	9.32	2.63	5.49	0.00	0.00	5.25	2.45	2.72
UBQLN1	IPI00099550_UBQLN1	2.25	0.00	0.00	0.00	0.00	3.30	0.00	6.52	0.00	3.43	0.00	0.00	4.20	9.78	7.07
YWHAH	IPI00216319_YWHAH	7.86	7.69	8.00	0.00	2.32	4.95	2.01	2.80	7.90	8.24	10.82	6.12	9.45	6.73	7.62
UBE2N	IPI00003949_UBE2N	0.00	0.00	2.67	0.00	2.32	6.60	0.00	0.00	2.63	2.06	4.64	3.06	0.00	0.00	2.18
EXT1	IPI00293128_EXT1	0.00	2.56	2.67	0.00	0.00	0.00	0.00	5.59	0.00	0.00	3.09	0.00	0.00	3.67	4.35
ANP32B	IPI00007423_ANP32B	0.00	4.27	2.67	0.00	3.48	3.30	5.02	8.39	3.95	6.18	0.00	3.06	5.25	12.23	5.44
VWA1	IPI00396383_VWA1	0.00	0.00	0.00	0.00	0.00	9.90	26.12	10.25	0.00	2.75	0.00	0.00	0.00	0.00	0.00
SERPINH1	IPI00032140_SERPINH1	4.49	0.00	0.00	0.00	0.00	6.60	0.00	0.00	3.95	7.55	0.00	0.00	0.00	5.50	3.81
KPNA2	IPI00002214_KPNA2	3.37	3.42	5.33	0.00	0.00	0.00	0.00	3.73	3.95	4.12	6.18	6.12	0.00	10.39	8.70
UCHL3	IPI00011250_UCHL3	2.25	2.56	0.00	0.00	0.00	0.00	3.01	4.66	7.90	8.24	3.09	4.59	3.15	3.67	3.26
HIST1H4A	IPI00453473_HIST1H4A	5.62	0.00	0.00	0.00	0.00	16.51	0.00	2.80	0.00	0.00	0.00	9.18	4.20	4.89	4.35
KLK8	IPI00028484_KLK8	0.00	0.00	0.00	0.00	0.00	4.95	10.01	5.59	15.81	5.49	0.00	0.00	7.35	4.28	3.81
NUDT5	IPI00296913_NUDT5	0.00	5.13	2.67	0.00	3.48	0.00	5.02	4.66	5.27	4.12	0.00	3.06	4.20	4.89	4.90
PSMB7	IPI00003217_PSMB7	2.25	2.56	0.00	0.00	2.32	0.00	3.01	0.00	0.00	0.00	0.00	0.00	8.40	6.73	5.98
AKR1A1	IPI00220271_AKR1A1	0.00	0.00	0.00	0.00	0.00	0.00	5.02	2.80	5.27	4.81	3.09	0.00	6.30	3.06	3.26
PYGL	IPI00783313_PYGL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	6.18	0.00	2.10	17.73	18.50
DSC2	IPI00025846_DSC2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	0.00	0.00	0.00	14.70	6.73	8.16
MICALL1	IPI00878579_MICALL1	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PAWR	IPI00001871_PAWR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	2.10	0.00	0.00
AK2	IPI00215901_AK2	0.00	0.00	0.00	0.00	0.00	8.25	5.02	3.73	3.95	4.12	0.00	0.00	2.10	3.06	3.81
TBCA	IPI00217236_TBCA	0.00	4.27	2.67	0.00	5.80	6.60	0.00	0.00	2.63	3.43	0.00	3.06	4.20	3.06	2.72
EEF1B2	IPI00178440_EEF1B2	5.62	4.27	0.00	0.00	3.48	0.00	2.01	2.80	2.63	2.75	0.00	0.00	2.10	2.45	5.44
MAN2A1	IPI00003802_MAN2A1	0.00	0.00	0.00	2.96	5.80	0.00	8.04	7.46	0.00	0.00	0.00	6.12	0.00	0.00	2.72
EIF3A	IPI00029012_EIF3A	3.37	2.56	0.00	0.00	0.00	0.00	0.00	3.73	0.00	4.12	0.00	0.00	2.10	14.06	6.53
PZP	IPI00025426_PZP	10.11	16.24	16.88	25.14	6.96	11.55	2.01	7.46	5.27	3.43	7.73	15.31	5.25	0.00	2.18
CARS	IPI00027443_CARS	0.00	0.00	0.00	0.00	0.00	3.30	3.01	0.00	0.00	4.81	0.00	0.00	0.00	2.45	2.18
SUMF2	IPI00783919_SUMF2	7.86	7.69	6.22	5.92	10.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	0.00	0.00
MCAM	IPI00016334_MCAM	5.62	7.69	7.11	11.83	19.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITM2B	IPI00031821_ITM2B	4.49	2.56	2.67	2.96	0.00	0.00	0.00	0.00	0.00	0.00	4.64	3.06	0.00	0.00	2.72
PVR	IPI00299158_PVR	3.37	4.27	4.44	7.39	9.28	3.30	6.03	3.73	0.00	0.00	3.09	0.00	2.10	0.00	0.00
SEPT9	IPI00784614_SEPT9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.22	5.49	0.00	0.00	0.00	3.06	6.53
FAH	IPI00031708_FAH	2.25	5.13	5.33	0.00	0.00	4.95	2.01	3.73	0.00	0.00	3.09	3.06	0.00	6.73	3.26
MARCKS	IPI00219301_MARCKS	0.00	2.56	3.55	0.00	0.00	0.00	2.01	0.00	0.00	6.87	0.00	3.06	3.15	7.34	5.98
NUCKS1	IPI00022145_NUCKS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	2.63	2.75	0.00	3.06	0.00	7.95	4.90
PLBD2	IPI00169285_PLBD2	0.00	0.00	0.00	8.87	9.28	0.00	2.01	2.80	3.95	6.18	0.00	0.00	0.00	2.45	0.00
SLC9A3R1	IPI00003527_SLC9A3R1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	8.92	0.00	0.00	4.20	7.34	5.98
STRAP	IPI00294536_STRAP	2.25	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	2.75	0.00	4.59	0.00	4.89	5.98
SDC4	IPI00011564_SDC4	0.00	3.42	3.55	0.00	2.32	4.95	17.08	8.39	3.95	2.75	0.00	0.00	2.10	2.45	2.72
SF1	IPI00386119_SF1	3.37	5.13	2.67	0.00	0.00	3.30	0.00	0.00	5.27	5.49	7.73	4.59	8.40	4.28	3.81
NONO	IPI00304596_NONO	4.49	2.56	3.55	0.00	0.00	0.00	0.00	0.00	0.00	3.43	9.28	9.18	3.15	7.34	3.81
MTPN	IPI00924816_MTPN	10.11	3.42	3.55	0.00	0.00	0.00	0.00	0.00	0.00	5.49	0.00	3.06	3.15	2.45	2.72
SH3BGRL3	IPI00010402_SH3BGRL3	3.37	2.56	0.00	4.44	4.64	4.95	5.02	5.59	5.27	3.43	0.00	0.00	7.35	2.45	2.18
ERP29	IPI00024911_ERP29	0.00	4.27	0.00	11.83	10.44	6.60	0.00	0.00	0.00	3.43	10.82	4.59	2.10	3.06	0.00
CUTA	IPI00034319_CUTA	7.86	5.13	4.44	0.00	3.48	9.90	5.02	7.46	0.00	0.00	4.64	3.06	5.25	0.00	0.00
KRT14	IPI00384444_KRT14	0.00	5.13	2.67	0.00	3.48	0.00	2.01	4.66	5.27	6.87	4.64	7.65	9.45	4.89	3.81
PCBP2	IPI00012066_PCBP2	10.11	5.13	7.11	0.00	0.00	3.30	3.01	0.00	2.63	6.87	6.18	3.06	5.25	5.50	5.98
EXTL2	IPI00002732_EXTL2	0.00	2.56	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	3.06	0.00	0.00	0.00
SNRNP200	IPI00420014_SNRNP200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.73	3.26
PSMA3	IPI00171199_PSMA3	0.00	2.56	0.00	0.00	0.00	3.30	0.00	4.66	2.63	2.06	3.09	3.06	4.20	5.50	3.26
LGALS3	IPI00465431_LGALS3	5.62	2.56	0.00	0.00	6.96	0.00	2.01	0.00	3.95	3.43	0.00	0.00	3.15	0.00	2.72
PPP2CA	IPI00008380_PPP2CA	0.00	2.56	3.55	0.00	0.00	0.00	0.00	4.66	0.00	4.81	3.09	10.71	2.10	7.95	7.62
EIF2A	IPI00982376_EIF2A	0.00	0.00	0.00	0.00	0.00	3.30	4.02	0.00	3.95	8.24	0.00	0.00	2.10	4.89	3.26
FBLN1	IPI00296537_FBLN1	0.00	3.42	2.67	0.00	0.00	34.66	33.16	22.37	28.98	10.98	47.93	36.74	14.70	9.78	10.34
MEGF8	IPI00027310_MEGF8	0.00	0.00	0.00	0.00	0.00	0.00	4.02	0.00	0.00	0.00	4.64	0.00	0.00	0.00	0.00
GALNT7	IPI00328391_GALNT7	0.00	0.00	0.00	0.00	2.32	0.00	11.05	12.12	5.27	0.00	0.00	4.59	0.00	0.00	0.00
GMPS	IPI00029079_GMPS	0.00	0.00	0.00	0.00	0.00	4.95	4.02	4.66	0.00	6.87	6.18	0.00	0.00	6.73	4.35
ITGBL1	IPI01018875_ITGBL1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	2.45	3.26
YA61	IPI00386208_YA61	0.00	0.00	0.00	14.79	24.35	0.00	13.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITIH5	IPI00328829_ITIH5	0.00	0.00	0.00	14.79	18.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ATP5B	IPI00303476_ATP5B	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	2.75	21.64	13.78	0.00	0.00	0.00
VAT1	IPI00156689_VAT1	5.62	6.84	7.11	0.00	3.48	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	2.18
LMNB2	IPI00009771_LMNB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.92	0.00	0.00	5.25	7.34	4.35
CHL1	IPI00299059_CHL1	0.00	0.00	0.00	20.70	18.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DPY30	IPI00028109_DPY30	3.37	5.13	3.55	0.00	0.00	6.60	2.01	0.00	7.90	2.06	13.91	6.12	5.25	3.67	3.26
HRNR	IPI00398625_HRNR	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	6.12	0.00	0.00	0.00
UBE2L3	IPI00909773_UBE2L3	2.25	0.00	0.00	0.00	0.00	0.00	4.02	3.73	0.00	4.12	0.00	0.00	4.20	4.28	7.07
ADAM9	IPI00981311_ADAM9	2.25	5.98	5.33	0.00	0.00	0.00	0.00	2.80	0.00	0.00	3.09	0.00	4.20	0.00	2.18
CALM1	IPI00075248_CALM1	0.00	4.27	2.67	0.00	2.32	0.00	4.02	3.73	0.00	0.00	0.00	0.00	3.15	5.50	3.81
DBI	IPI00010182_DBI	0.00	0.00	2.67	0.00	0.00	0.00	2.01	4.66	0.00	0.00	0.00	0.00	0.00	2.45	3.26
USP5	IPI00375145_USP5	2.25	0.00	3.55	0.00	0.00	0.00	0.00	0.00	0.00	6.18	6.18	3.06	0.00	3.67	4.35
PLIN3	IPI00106668_PLIN3	0.00	0.00	0.00	2.96	0.00	0.00	0.00	3.73	9.22	8.92	0.00	0.00	2.10	7.95	5.44
SEMA3A	IPI00031510_SEMA3A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	5.50	10.34
CD59	IPI00980045_CD59	5.62	3.42	3.55	4.44	8.12	0.00	4.02	0.00	3.95	3.43	0.00	0.00	5.25	0.00	3.26
HLA-A	IPI00472222_HLA-A	15.73	10.25	15.99	11.83	19.71	21.46	16.08	15.84	0.00	8.92	3.09	3.06	4.20	6.11	5.98
UCHL1	IPI00018352_UCHL1	0.00	0.00	0.00	5.92	5.80	0.00	0.00	0.00	0.00	0.00	20.10	16.84	0.00	0.00	0.00
PCSK1N	IPI00002280_PCSK1N	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.20	36.74	0.00	0.00	0.00
IVL	IPI00011692_IVL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.56	14.06	7.62
SF3B2	IPI00221106_SF3B2	2.25	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	3.43	0.00	0.00	2.10	4.89	3.26
HNRNPC	IPI00216592_HNRNPC	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	4.64	4.59	2.10	2.45	2.18
IPO7	IPI00007402_IPO7	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	0.00	0.00	0.00	7.34	3.26
SLPI	IPI00008580_SLPI	0.00	0.00	0.00	0.00	0.00	4.95	10.01	5.59	6.59	4.81	0.00	0.00	2.10	0.00	3.81
TACSTD2	IPI00297910_TACSTD2	0.00	0.00	0.00	0.00	0.00	6.60	8.04	4.66	6.59	6.87	0.00	0.00	4.20	4.28	3.26
CFI	IPI00796990_CFI	7.86	13.67	15.99	0.00	0.00	0.00	9.04	0.00	0.00	0.00	3.09	3.06	0.00	0.00	0.00
CD9	IPI00215997_CD9	2.25	3.42	4.44	7.39	4.64	4.95	5.02	4.66	3.95	0.00	6.18	4.59	6.30	0.00	2.18
ILF2	IPI00005198_ILF2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.06	3.09	7.65	0.00	5.50	8.70
FAT1	IPI00940698_FAT1	0.00	2.56	0.00	2.96	2.32	0.00	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAS6	IPI00412412_GAS6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40	10.39	9.79
CADM4	IPI00176427_CADM4	0.00	0.00	0.00	4.44	4.64	8.25	22.10	8.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF2S1	IPI00219678_EIF2S1	2.25	0.00	0.00	0.00	2.32	0.00	0.00	0.00	2.63	5.49	0.00	0.00	0.00	7.95	4.35
DUT	IPI00013679_DUT	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.59	11.55	4.89	5.98
OAF	IPI00328703_OAF	7.86	5.98	5.33	4.44	5.80	0.00	3.01	3.73	0.00	0.00	7.73	9.18	0.00	0.00	0.00
MFGE8	IPI00966900_MFGE8	2.25	4.27	6.22	7.39	3.48	0.00	2.01	0.00	0.00	0.00	7.73	15.31	0.00	0.00	0.00
PCDH1	IPI00872579_PCDH1	0.00	0.00	0.00	0.00	0.00	4.95	3.01	5.59	0.00	0.00	0.00	0.00	3.15	6.11	7.07
XPO1	IPI00298961_XPO1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.92	10.82	4.59	0.00	2.45	4.90
ASS1	IPI00020632_ASS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	0.00	10.39	7.62
HMGN2	IPI00217950_HMGN2	2.25	0.00	0.00	0.00	2.32	0.00	3.01	0.00	0.00	2.75	4.64	4.59	4.20	0.00	0.00
RBMX	IPI00304692_RBMX	2.25	2.56	3.55	0.00	0.00	3.30	2.01	0.00	2.63	3.43	6.18	4.59	3.15	5.50	3.26
UBE2V1	IPI00019599_UBE2V1	3.37	0.00	0.00	0.00	0.00	3.30	5.02	0.00	0.00	2.75	0.00	0.00	6.30	4.28	3.26
SAFB	IPI00300631_SAFB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	2.10	6.11	5.98
SEPT2	IPI00014177_SEPT2	5.62	2.56	2.67	0.00	0.00	0.00	0.00	0.00	2.63	2.75	0.00	3.06	0.00	4.89	2.72
CNTN1	IPI00216641_CNTN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.50	5.50	9.25
MAGOH	IPI00219306_MAGOH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	3.06	0.00	4.28	2.72
TNFRSF12A	IPI00010277_TNFRSF12A	0.00	0.00	0.00	0.00	0.00	11.55	11.05	7.46	0.00	0.00	0.00	0.00	4.20	0.00	4.35
LIPA	IPI00007207_LIPA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	8.56	9.79
PEPD	IPI00257882_PEPD	5.62	4.27	4.44	0.00	4.64	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
HNRNPF	IPI00003881_HNRNPF	6.74	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	4.12	4.64	6.12	4.20	3.06	3.81
HN1	IPI00007764_HN1	0.00	0.00	0.00	0.00	2.32	0.00	2.01	3.73	6.59	3.43	0.00	0.00	4.20	4.28	3.81
COL4A1	IPI00743696_COL4A1	3.37	7.69	3.55	0.00	2.32	0.00	2.01	3.73	0.00	0.00	6.18	4.59	2.10	0.00	0.00
ATOX1	IPI00982850_ATOX1	6.74	2.56	4.44	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
NUTF2	IPI00009901_NUTF2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	2.06	0.00	0.00	0.00	0.00	0.00
TXNL1	IPI00305692_TXNL1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	2.10	2.45	0.00
HN1L	IPI00607796_HN1L	0.00	0.00	3.55	0.00	0.00	0.00	0.00	0.00	2.63	2.06	6.18	4.59	4.20	4.28	0.00
COL15A1	IPI00295414_COL15A1	5.62	5.13	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PRSS23	IPI00026941_PRSS23	0.00	2.56	2.67	0.00	10.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	3.26
MCTS1	IPI00179026_MCTS1	3.37	0.00	0.00	0.00	0.00	0.00	3.01	0.00	6.59	6.87	0.00	3.06	4.20	6.11	6.53
EIF4G1	IPI00479262_EIF4G1	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	2.75	0.00	0.00	0.00	7.95	5.98
PCDHGC3	IPI00031750_PCDHGC3	2.25	10.25	12.44	2.96	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KCTD12	IPI00060715_KCTD12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59	6.18	10.82	9.18	0.00	0.00	2.72
PRSS22	IPI00005467_PRSS22	0.00	0.00	0.00	0.00	0.00	0.00	9.04	10.25	0.00	2.06	0.00	0.00	5.25	3.06	2.72
LOC100508006	IPI00981910_LOC100508006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	9.17	11.97
PROCR	IPI00009276_PROCR	0.00	6.84	5.33	2.96	4.64	0.00	3.01	0.00	2.63	0.00	0.00	0.00	0.00	3.06	0.00
PREP	IPI00008164_PREP	0.00	0.00	0.00	0.00	3.48	0.00	0.00	0.00	0.00	5.49	0.00	3.06	0.00	0.00	2.18
PGLS	IPI00029997_PGLS	0.00	0.00	0.00	0.00	3.48	0.00	5.02	5.59	0.00	2.75	3.09	3.06	6.30	4.89	6.53
HINT1	IPI00239077_HINT1	0.00	0.00	2.67	0.00	0.00	3.30	0.00	0.00	2.63	0.00	7.73	0.00	2.10	3.67	2.18
RBM3	IPI00024320_RBM3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	0.00	5.25	6.73	4.90
GLRX3	IPI00008552_GLRX3	0.00	0.00	0.00	0.00	0.00	3.30	0.00	2.80	0.00	4.12	0.00	0.00	3.15	5.50	5.98
TNKS1BP1	IPI00304589_TNKS1BP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	6.73	7.07
DDX1	IPI00293655_DDX1	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	3.43	0.00	0.00	0.00	4.28	2.72
COL1A2	IPI00304962_COL1A2	0.00	0.00	0.00	5.92	17.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PTX3	IPI00029568_PTX3	0.00	0.00	5.33	14.79	23.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MIA	IPI00003448_MIA	4.49	12.82	9.77	5.92	16.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
UROD	IPI00301489_UROD	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	2.45	0.00
PRMT1	IPI01018101_PRMT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	2.10	6.73	4.90
POFUT1	IPI00058192_POFUT1	0.00	0.00	0.00	16.27	5.80	0.00	0.00	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF3L	IPI00745266_EIF3L	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	11.01	5.44
SDCBP	IPI00479018_SDCBP	13.48	0.00	0.00	5.92	8.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SHISA5	IPI00927583_SHISA5	2.25	0.00	0.00	0.00	2.32	6.60	5.02	3.73	6.59	0.00	3.09	3.06	2.10	0.00	2.72
GLB1	IPI01012577_GLB1	2.25	2.56	2.67	0.00	0.00	0.00	0.00	0.00	0.00	2.75	4.64	3.06	0.00	0.00	0.00
PLOD2	IPI00337495_PLOD2	0.00	8.54	5.33	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	0.00	0.00	2.18
CTNNB1	IPI00017292_CTNNB1	2.25	2.56	0.00	0.00	0.00	0.00	3.01	0.00	0.00	6.18	0.00	0.00	2.10	5.50	4.35
SORD	IPI00216057_SORD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	4.20	10.39	7.62
APOD	IPI00006662_APOD	7.86	10.25	15.10	7.39	9.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FLG	IPI00026256_FLG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.25	0.00	0.00
PCDH7	IPI00956433_PCDH7	3.37	0.00	5.33	2.96	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
NAP1L4	IPI00798071_NAP1L4	4.49	4.27	0.00	0.00	2.32	0.00	0.00	0.00	3.95	2.75	0.00	6.12	6.30	5.50	7.07
PSMD2	IPI01014808_PSMD2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.59	0.00	0.00	0.00	0.00	0.00	3.06	5.98
EIF5B	IPI00299254_EIF5B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	3.43	0.00	0.00	0.00	2.45	2.18
PSME3	IPI00030243_PSME3	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.49	0.00	3.06	0.00	5.50	5.98
THOC4	IPI00328840_THOC4	2.25	0.00	0.00	0.00	0.00	4.95	0.00	0.00	10.54	4.12	7.73	7.65	3.15	2.45	3.81
NOLC1	IPI00908873_NOLC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	4.12	0.00	0.00	0.00	3.06	0.00
PHGDH	IPI00011200_PHGDH	0.00	0.00	0.00	0.00	0.00	16.51	3.01	0.00	0.00	0.00	15.46	0.00	0.00	3.67	4.90
MAN1A1	IPI00844511_MAN1A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.28	10.71	0.00	0.00	0.00
SCGB1A1	IPI00006705_SCGB1A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.90	9.78	9.79
FUS	IPI00221354_FUS	2.25	4.27	0.00	0.00	0.00	4.95	0.00	0.00	5.27	4.12	6.18	13.78	4.20	3.06	2.18
HARS	IPI00021808_HARS	0.00	3.42	5.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	4.28	2.72
CSF1	IPI00015881_CSF1	0.00	0.00	0.00	0.00	8.12	3.30	11.05	9.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABP1	IPI00953666_ABP1	0.00	0.00	0.00	0.00	0.00	0.00	5.02	2.80	0.00	0.00	0.00	0.00	5.25	5.50	6.53
MATR3	IPI00789551_MATR3	2.25	2.56	2.67	0.00	0.00	0.00	2.01	2.80	7.90	3.43	3.09	4.59	0.00	2.45	0.00
CNPY2	IPI00443909_CNPY2	2.25	0.00	0.00	0.00	0.00	4.95	2.01	7.46	0.00	2.75	3.09	0.00	4.20	4.89	3.81
ULBP2	IPI00909250_ULBP2	0.00	0.00	0.00	0.00	0.00	6.60	5.02	7.46	0.00	0.00	3.09	4.59	0.00	0.00	0.00
PSMB2	IPI00028006_PSMB2	0.00	2.56	0.00	0.00	0.00	3.30	0.00	0.00	2.63	0.00	0.00	3.06	4.20	2.45	0.00
ARF3	IPI00215917_ARF3	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.49	0.00	0.00	2.10	4.89	3.81
NAPRT1	IPI00465085_NAPRT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	9.61	0.00	0.00	0.00	0.00	2.18
CSTB	IPI00021828_CSTB	0.00	0.00	0.00	0.00	5.80	0.00	6.03	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RBM8A	IPI00001757_RBM8A	0.00	4.27	0.00	0.00	0.00	3.30	3.01	4.66	6.59	3.43	7.73	0.00	4.20	3.06	2.72
TPD52	IPI00873344_TPD52	0.00	2.56	2.67	0.00	0.00	6.60	0.00	0.00	6.59	6.87	0.00	0.00	0.00	3.67	3.81
LYPD3	IPI00004310_LYPD3	0.00	0.00	0.00	0.00	0.00	3.30	3.01	2.80	5.27	5.49	0.00	0.00	10.50	5.50	3.81
LAMC3	IPI00641172_LAMC3	0.00	2.56	0.00	2.96	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PLG	IPI00019580_PLG	3.37	2.56	2.67	7.39	3.48	0.00	4.02	0.00	2.63	0.00	6.18	4.59	0.00	0.00	0.00
FRAS1	IPI00455316_FRAS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	0.00	0.00	0.00	0.00
